seq_len,head_dim,dtype,causal,batch_size,heads,device,method,backend,status,error,mean_latency_ms,median_latency_ms,min_latency_ms,max_latency_ms,std_latency_ms,memory_allocated_bytes
2048,128,bfloat16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.3273151978850365,0.32819199562072754,0.3152320086956024,0.34278398752212524,0.008345505562266119,33686528
2048,128,bfloat16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.32403360307216644,0.32364800572395325,0.3112640082836151,0.3343679904937744,0.005815795307348956,33686528
2048,256,float16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,1.1432799994945526,1.1464640498161316,1.128864049911499,1.148576021194458,0.006051899677555656,67240960
2048,256,float16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,1.1483312010765077,1.1466880440711975,1.1360960006713867,1.1673599481582642,0.01078234324288494,67240960
2048,256,float16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.6382624000310898,0.6376640200614929,0.6355839967727661,0.6409919857978821,0.0014231204648649924,67240960
2048,256,float16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.6363583981990815,0.6356799900531769,0.6337599754333496,0.6396160125732422,0.0019202558943171443,67240960
2048,256,bfloat16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,1.117134404182434,1.1127520203590393,1.1115520000457764,1.176576018333435,0.014633672851155173,67240960
2048,256,bfloat16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,1.1903280198574067,1.1776480078697205,1.1663360595703125,1.2390400171279907,0.023558929964374368,67240960
2048,256,bfloat16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.6379776030778885,0.6349280178546906,0.6322240233421326,0.6512320041656494,0.006450749989622073,67240960
2048,256,bfloat16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.6335087984800338,0.6338399946689606,0.6295999884605408,0.6367040276527405,0.0017699341478326573,67240960
4096,32,float16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.5614383935928344,0.5611519813537598,0.5579519867897034,0.5646719932556152,0.0019902968504589,17040384
4096,32,float16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.5607344001531601,0.5606400072574615,0.5577279925346375,0.5642240047454834,0.0021802642401318297,17040384
4096,32,float16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.34208799749612806,0.34094400703907013,0.3264319896697998,0.3603839874267578,0.009357786892716907,17040384
4096,32,float16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.34114399999380113,0.3415679931640625,0.3272959887981415,0.35923200845718384,0.009485717482155704,17040384
4096,32,bfloat16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.5574320018291473,0.5570560097694397,0.5566719770431519,0.5590400099754333,0.0006617025780195297,17040384
4096,32,bfloat16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.5570127993822098,0.5570560097694397,0.5558080077171326,0.5580800175666809,0.0005409087065631033,17040384
4096,32,bfloat16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.35447520315647124,0.35416001081466675,0.33587199449539185,0.3696640133857727,0.008747968909176496,17040384
4096,32,bfloat16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.3524336010217667,0.34961600601673126,0.3336640000343323,0.37833601236343384,0.013159290177085031,17040384
4096,64,float16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,1.0961119890213014,1.0953440070152283,1.0598399639129639,1.1223039627075195,0.015308389536422702,33817600
4096,64,float16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,1.0907247841358185,1.0894879698753357,1.0850239992141724,1.102687954902649,0.00530462190401344,33817600
4096,64,float16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.6406399965286255,0.6394879817962646,0.6000639796257019,0.6704000234603882,0.019848488082355422,33817600
4096,64,float16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.6395087987184525,0.6379520297050476,0.6102079749107361,0.6796479821205139,0.02165157137551649,33817600
4096,64,bfloat16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,1.07292799949646,1.0695520043373108,1.052672028541565,1.0885119438171387,0.008553729319297097,33817600
4096,64,bfloat16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,1.0754495978355407,1.075648009777069,1.0665919780731201,1.0881600379943848,0.007037839626936181,33817600
4096,64,bfloat16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.6318975985050201,0.6271359920501709,0.609279990196228,0.6584320068359375,0.013311320359537894,33817600
4096,64,bfloat16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.6378416001796723,0.6376320123672485,0.6029760241508484,0.6743680238723755,0.019011494301433975,33817600
4096,128,float16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,6.681547236442566,6.787312030792236,5.343232154846191,6.910975933074951,0.3649576409551518,67372032
4096,128,float16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,6.65888478755951,6.6537439823150635,6.6427202224731445,6.7223358154296875,0.01879888877122218,67372032
